ds,CPI,GDP,Unemployment,CPI_volatility,GDP_volatility,Unemployment_volatility,Equities,Bonds,Commodities,Cash
1947-01-01,22.927105452176985,147.03183915585916,,,,,0.6,0.3,0.05,0.05
1947-02-01,23.01746899674467,,,,,,0.6,0.3,0.05,0.05
1947-03-01,22.96098907549985,,,,,,0.6,0.3,0.05,0.05
1947-04-01,23.10723427692062,174.35079748981215,,,,,0.6,0.3,0.05,0.05
1947-05-01,23.19852829763679,,,,,,0.6,0.3,0.05,0.05
1947-06-01,23.255256822482497,,,0.2439467154933639,,,0.6,0.3,0.05,0.05
1947-07-01,23.18711741539592,177.82000502890833,,0.2018910597327214,,,0.6,0.3,0.05,0.05
1947-08-01,23.22803804555759,,,0.1727425830535203,,,0.6,0.3,0.05,0.05
1947-09-01,23.258637288841605,,,0.3323853185686812,,,0.6,0.3,0.05,0.05
1947-10-01,23.25080728308332,193.28771470395296,,0.3968584970322186,,,0.6,0.3,0.05,0.05
1947-11-01,23.314091876659777,,,0.4028730155603275,,,0.6,0.3,0.05,0.05
1947-12-01,23.349210330789763,,,0.4331012198859198,,,0.6,0.3,0.05,0.05
1948-01-01,23.436108849114593,183.3586701287064,4.146339552740076,0.4500666617291323,,,0.6,0.3,0.05,0.05
1948-02-01,23.52572060662797,,4.128427790295663,0.3757348355777938,,,0.6,0.3,0.05,0.05
1948-03-01,23.63632718506671,,4.04964922195807,0.3200885294206459,,,0.6,0.3,0.05,0.05
1948-04-01,23.592346669985822,156.16941912139697,4.415021159167439,0.2691220293225213,11.746098496947834,,0.6,0.3,0.05,0.05
1948-05-01,23.603254195736696,,4.385718237322852,0.216279140618489,,,0.6,0.3,0.05,0.05
1948-06-01,23.838473840784783,,4.362221643398682,0.2400624918641104,,0.2366431913239847,0.6,0.3,0.05,0.05
1948-07-01,23.54369262090453,166.29632596723135,4.369920300052468,0.3286791748803183,12.942188955762724,0.1966384160500351,0.6,0.3,0.05,0.05
1948-08-01,23.633284546090223,,4.308789775087191,0.3560571115238043,,0.2073644135332772,0.6,0.3,0.05,0.05
1948-09-01,23.822650611239233,,4.238500843618391,0.2454994908345218,,0.1722401424368509,0.6,0.3,0.05,0.05
1948-10-01,23.898305557113897,185.67041038214649,4.263531453999682,0.1636663272230326,11.927910754472713,0.1471960144387976,0.6,0.3,0.05,0.05
1948-11-01,23.778254211215895,,4.240529857056524,0.120568099705839,,0.1211060141638997,0.6,0.3,0.05,0.05
1948-12-01,23.75168483990139,,4.298796082886044,0.1492313639956767,,0.1414213562373095,0.6,0.3,0.05,0.05
1949-01-01,23.854031088561477,206.8248086291507,4.346317624129572,0.1722788437388925,8.00719912745184,0.2136976056643278,0.6,0.3,0.05,0.05
1949-02-01,23.942996694712264,,4.369885714634855,0.1762573875520572,,0.383405790253616,0.6,0.3,0.05,0.05
1949-03-01,24.06002334703481,,4.227036049802962,0.1549731159481417,,0.5167204273105521,0.6,0.3,0.05,0.05
1949-04-01,24.078138812664168,206.24102439818873,4.43930241096325,0.1005319186461504,5.400886211231027,0.5845225972250057,0.6,0.3,0.05,0.05
1949-05-01,24.11690337324615,,4.412498844770825,0.062102066525004,,0.7509993342207429,0.6,0.3,0.05,0.05
1949-06-01,24.292385073973456,,4.398842015085142,0.0394968353163799,,0.7607014306984481,0.6,0.3,0.05,0.05
1949-07-01,24.072973873768262,213.43517808782465,4.387408590724202,0.0875023809200393,3.73535730107115,0.7814516406449383,0.6,0.3,0.05,0.05
1949-08-01,24.148023183316003,,4.348606872258327,0.1111155554667097,,0.730524925424633,0.6,0.3,0.05,0.05
1949-09-01,24.284622126704576,,4.311145734338597,0.1111155554667085,,0.5564770136013397,0.6,0.3,0.05,0.05
1949-10-01,24.330575812135542,231.81662162649175,4.325121006346185,0.111489909857386,4.08039501764215,0.6431692364118996,0.6,0.3,0.05,0.05
1949-11-01,24.27073627331439,,4.311143107251953,0.0918694726228899,,0.5955389715767271,0.6,0.3,0.05,0.05
1949-12-01,24.265623711644736,,4.3329445857334115,0.046224091842612,,0.539135109844152,0.6,0.3,0.05,0.05
1950-01-01,24.36366818997573,242.46808625900115,4.340510545216563,0.0852447456836732,4.4599441588431095,0.5549774770204635,0.6,0.3,0.05,0.05
1950-02-01,24.45382337381595,,4.347567183397796,0.0840039681602847,,0.5785038173311096,0.6,0.3,0.05,0.05
1950-03-01,24.483521330379354,,4.4048163135937335,0.0656251984124548,,0.6047037842337898,0.6,0.3,0.05,0.05
1950-04-01,24.56506542441183,256.1149066844813,4.461537057016407,0.0632455532034255,7.575205026928233,0.2804757862395003,0.6,0.3,0.05,0.05
1950-05-01,24.630637928868293,,4.438745762064861,0.0840039681602844,,0.4355073669487876,0.6,0.3,0.05,0.05
1950-06-01,24.74660886736879,,4.435223167267507,0.1298717315918842,,0.4792355023020166,0.6,0.3,0.05,0.05
1950-07-01,24.602767713772213,261.08862965728986,4.405282019909235,0.1783255450012951,14.700712723084749,0.5428320796219276,0.6,0.3,0.05,0.05
1950-08-01,24.661588024009273,,4.389519773461294,0.2281593010742195,,0.6242328625334199,0.6,0.3,0.05,0.05
1950-09-01,24.74524031331931,,4.384434513126793,0.2641779703154883,,0.5656854249492395,0.6,0.3,0.05,0.05
1950-10-01,24.763354526210197,278.1673638352719,4.386526778579367,0.2762366135520027,19.886055681473547,0.5465040408511809,0.6,0.3,0.05,0.05
1950-11-01,24.764650057382624,,4.380909288213624,0.2696479185901734,,0.4833908011812698,0.6,0.3,0.05,0.05
