ds,yhat,yhat_lower,yhat_upper,indicator_name,rolling_volatility
2001-10-01,178.48064816745068,171.9734555997254,184.44571753131595,CPI,0.2926886855527442
2001-11-01,178.74031026668808,172.501489812662,185.07883668741601,CPI,0.26394443856725675
2001-12-01,179.04439283862294,172.84654578484236,185.27565686402485,CPI,0.2732520203961867
2002-01-01,179.46193895501196,173.65031550561932,185.66261900644048,CPI,0.26394443856725675
2002-02-01,179.8715957769102,173.65961582883247,186.23329826829269,CPI,0.2786873995188101
2002-03-01,180.189875858171,173.9151550993341,186.1565124579906,CPI,0.4070217029232479
2002-04-01,180.5909215910534,174.3869825722529,186.9087158451066,CPI,0.72295689128085
2002-05-01,180.96568922988052,174.85338185738235,187.0220360600331,CPI,0.8579044235716032
2002-06-01,181.40116180723066,175.2414260640067,187.66629371095627,CPI,0.8140434058760693
2002-07-01,181.56651578800475,174.83036335776538,187.9179391047764,CPI,0.7503332592811934
2002-08-01,181.94483773709172,175.56791940886467,188.0639161110098,CPI,0.6742897497738568
2002-09-01,182.34799166525139,175.9549949495389,188.34384254743006,CPI,0.5958187643766503
2002-10-01,182.67530101251302,176.38770613160207,188.97979253033844,CPI,0.6801960501575158
2002-11-01,182.9960981825352,176.9443211680394,189.31287514595257,CPI,0.7183313998309651
2002-12-01,183.3207587966483,176.37809765327603,189.16397561332334,CPI,0.6653319973138705
2003-01-01,183.73315544780556,177.51643318461404,189.72462731327278,CPI,0.7509993342093227
2003-02-01,184.14302061009047,177.91639395053033,190.5889076182515,CPI,1.024532413664554
2003-03-01,184.37512279517026,178.35117321781038,190.7939275757652,CPI,1.1254628677344873
2003-04-01,184.84086961430808,178.38656275643703,190.88778261633362,CPI,0.9729679679460209
2003-05-01,185.24135874894415,179.09959534019322,191.49910102615627,CPI,0.7509993342089301
2003-06-01,185.6175888915066,179.18238631224125,191.8162536942042,CPI,0.47081489637526697
2003-07-01,185.85864459834005,179.99977421002694,191.94305244973597,CPI,0.3898717737694277
2003-08-01,186.21906684621865,179.79277522074733,192.55792702833548,CPI,0.5991660871428429
2003-09-01,186.5691677072197,180.41633681915442,192.58595240993054,CPI,0.8757853618221649
2003-10-01,186.87053281538093,180.84035012638407,193.19765031460193,CPI,0.9352361555503127
2003-11-01,187.2533190266743,181.0281117814857,193.53848685322853,CPI,0.8109665015574905
2003-12-01,187.59763259472388,181.3249476040902,194.2229920832336,CPI,0.6210206652344539
2004-01-01,188.00403273076577,182.1639144049781,194.09548040134356,CPI,0.6210206652343349
2004-02-01,188.4131461059963,182.36575657659054,194.6112711644273,CPI,0.7494442385180884
2004-03-01,188.82264129455717,182.29968294172622,195.08853576420958,CPI,0.9174239296245976
2004-04-01,189.0981623971935,182.78401808202474,195.25299298434265,CPI,0.9309493362410862
2004-05-01,189.418265036864,183.62233974036235,195.90078521179998,CPI,0.9309493362410015
2004-06-01,189.97298629962913,184.14083589302976,195.73327056481054,CPI,0.966781602352566
2004-07-01,189.98740019366846,183.71318715791637,196.29035914095945,CPI,0.9859006034994603
2004-08-01,190.3964937365715,184.2770982945952,196.94151625268523,CPI,0.9020347369403947
2004-09-01,190.90536141943713,184.78885698291234,196.71989973731422,CPI,0.8453795991428776
2004-10-01,191.29021146520643,185.3255822020771,197.79731321275403,CPI,0.8846845011905492
2004-11-01,191.48966172253273,185.03918220616072,197.89524489745043,CPI,1.1125046816290516
2004-12-01,191.77228745111273,186.1003020713929,198.08324086493724,CPI,1.1856081421137503
2005-01-01,192.1941353029971,185.97617813060887,198.5017252349036,CPI,1.0788883167314596
2005-02-01,192.60260251237227,186.47410798020053,198.85742918994694,CPI,0.9070097390029389
2005-03-01,193.008211257929,186.59638007674795,199.4920937883131,CPI,0.7833687935104839
2005-04-01,193.34582832678305,187.42159111308789,199.43538945419007,CPI,0.8710147338857079
2005-05-01,193.6937879872595,187.09678903272285,200.38408034527245,CPI,0.923940835035412
2005-06-01,194.18877129121088,188.4994542893525,200.46011639348126,CPI,0.8565434411901556
2005-07-01,194.27855519090062,187.97903083571683,200.5419456221202,CPI,0.8238122763383476
2005-08-01,194.6731061248047,188.34898242869653,200.8877311150314,CPI,1.110705481505176
2005-09-01,195.12920669255055,189.17464188874013,201.6573319788865,CPI,2.0441787266884055
2005-10-01,195.4843554983271,189.2189071385338,201.48474815357568,CPI,2.43775853329348
2005-11-01,195.74401758386293,189.3335986069775,202.29944388577275,CPI,2.2220861069375726
2005-12-01,196.04810014253863,189.4868395020805,202.18595265555058,CPI,1.6545895764946519
2006-01-01,196.4656462452266,189.94302262341844,202.98524614409948,CPI,1.1657615536540316
2006-02-01,196.87530305342398,190.79975176154116,203.46482776041051,CPI,0.5796550698283115
2006-03-01,197.1935831223092,190.38040706682602,203.50912808215793,CPI,0.6862943974546237
2006-04-01,197.59462884069893,191.51751657464163,203.56431656438556,CPI,0.9968283034927176
2006-05-01,197.9693964655011,191.32554171297798,204.1919009857467,CPI,1.1273863578992458
2006-06-01,198.40486902835812,192.48394118647505,205.1082612374202,CPI,1.053881713781853
2006-07-01,198.57022299510763,192.26422934400654,204.14907462191567,CPI,1.3170674495421906
2006-08-01,198.94854492970148,192.82427337440953,204.56875273677335,CPI,1.4845874847837894
2006-09-01,199.35169884336835,193.2287732097262,205.82637011718407,CPI,1.151375988390898
2006-10-01,199.67900817660475,193.37586513198426,206.08817322395853,CPI,0.9152413160708094
2006-11-01,199.99980533213426,193.63132125426802,206.17738242296727,CPI,0.7788880963546552
2006-12-01,200.32446593222255,193.72929709552676,206.48878385474043,CPI,0.7120393247400216
2007-01-01,200.7368625688867,194.55205239460028,206.43431372847095,CPI,0.7663429388832357
2007-02-01,201.1467277166786,194.97264792527852,207.55780714438458,CPI,0.883853324922277
2007-03-01,201.37882988866826,194.87444991284008,207.6806026831387,CPI,1.3049589137757167
2007-04-01,201.77647767033935,195.5563160886829,207.48227379147892,CPI,1.44650388868327
2007-05-01,202.1110645106529,195.94186371741355,208.04679892762064,CPI,1.439088600460584
2007-06-01,202.4191956157485,196.25758123595836,208.71597345570197,CPI,1.4604745803934518
2007-07-01,202.59434902825933,196.2436456630596,208.57759411756214,CPI,1.2771538147936363
2007-08-01,202.88667223867108,196.6249783751748,208.93726964667414,CPI,0.9649392554154884
2007-09-01,203.16867406220496,197.39471842361257,209.211105794327,CPI,0.897814457432611
2007-10-01,203.40413687604328,197.0220165109959,209.93937806055584,CPI,0.8891102668632119
2007-11-01,203.71882404987034,197.32211583608432,209.86969963651964,CPI,1.3435908231209317
2007-12-01,203.99723532359732,197.74660737070252,210.74579197531537,CPI,1.614667478659716
2008-01-01,204.33553642217242,198.12772391375117,210.27722009830265,CPI,1.7729437009226263
2008-02-01,204.6765507599359,198.35134909780257,210.93697408229636,CPI,1.6451715310693606
2008-03-01,205.02234039731812,198.8403321031196,210.8989745642225,CPI,1.5059714029957465
2008-04-01,205.22976246248777,198.3125209766677,211.32913910137145,CPI,1.1807690149393477
2008-05-01,205.48396280783567,199.32780891421314,211.4671998988309,CPI,1.3435326072115628
2008-06-01,205.97058503313343,199.87814206900978,212.5710127715656,CPI,1.9326802805017949
2008-07-01,205.91909663285077,199.569850572314,212.3615626528449,CPI,2.4737546361702147
2008-08-01,206.26009113828658,199.74761649598713,212.34578893325389,CPI,2.421886681901839
2008-09-01,206.70085978368562,200.3778469238126,212.8813571650507,CPI,2.1439253407336913
2008-10-01,207.019807549157,200.57378275801048,213.31385016788846,CPI,1.4737803658076138
2008-11-01,207.15115878350946,201.0098287516547,213.41267993416315,CPI,2.2205861988763376
2008-12-01,207.3678822317919,201.59122154846796,213.67840613472003,CPI,3.2902243945725282
2009-01-01,207.72163106070212,201.92290459260622,214.44334144732707,CPI,3.412834696647393
2009-02-01,208.06199924710307,201.68607579537965,213.9662954399627,CPI,3.0333104303121394
2009-03-01,208.40609919771563,202.0063088960044,214.45026818948483,CPI,1.9976754908243979
2009-04-01,208.67561724359584,202.40509229391293,214.8982898726827,CPI,0.6303371848784975
2009-05-01,208.9576746237749,202.6790275161249,215.75433923499378,CPI,0.6005554095784053
2009-06-01,209.38455890475203,202.99900449380058,215.38128077718994,CPI,0.9746641814699801
2009-07-01,209.40844052414442,202.8139505246294,215.4265693776971,CPI,1.0594737215431813
2009-08-01,209.73489243507476,202.90517154049624,215.93960918953633,CPI,1.2662724430287122
2009-09-01,210.12289397984603,203.6959990132757,216.0916990101604,CPI,1.2836966541881722
